,Date,Price,Root,P/FCF,ATR,Cash/sh,EPS next Y,Book/sh,PEG,Prediction,Profit,SPY Profit
475,20180430.0,11.48,SLM,88.8714012143858,0.31,3.26,1.2,5.09,0.68,0.20655808533986697,-0.015679442508710777,0.044941721458457755
478,20180430.0,8.6,SOGO,88.8714012143858,0.33,2.94,0.57,2.35,1.18,0.3617235032540862,0.1104651162790699,0.044941721458457755
561,20180501.0,15.13,QTNA,88.8714012143858,0.63,3.36,0.83,5.11,0.46,0.20369782334307,0.052875082617316514,0.061638896269024746
614,20180507.0,32.95,APAM,88.8714012143858,0.86,3.22,3.24,1.97,1.31,0.21845046589635964,,
715,20180507.0,15.7,EGOV,88.8714012143858,0.42,2.42,0.73,2.72,1.94,0.4003960463256738,0.025477707006369563,0.04546937728956895
984,20180507.0,52.37,TNET,88.8714012143858,1.5,4.69,2.95,3.74,0.92,0.2269288272904066,0.05117433645216727,0.04546937728956895
1063,20180514.0,12.35,AES,88.8714012143858,0.24,2.77,1.3,4.83,3.96,0.1690809605529444,0.08340080971659929,0.04215799191941342
1116,20180514.0,12.09,CMCM,88.8714012143858,0.51,4.12,0.73,4.84,0.89,0.24852621149717583,-0.31017369727047145,0.04215799191941342
1159,20180514.0,29.42,ETSY,88.8714012143858,1.23,5.02,0.57,3.17,3.79,0.28647848917735386,0.5360299116247449,0.04215799191941342
1245,20180514.0,13.71,LTM,5.09,0.42,2.46,0.95,6.97,0.84,0.1691099093726988,-0.2932166301969366,0.04215799191941342
1311,20180514.0,11.49,QD,88.8714012143858,0.45,3.37,1.79,4.62,2.7,0.28537088428608864,-0.40121845082680596,0.04215799191941342
1367,20180514.0,4.6,TTI,88.8714012143858,0.19,0.84,0.26,1.58,3.12,0.19931642894523655,0.06521739130434799,0.04215799191941342
1420,20180521.0,12.32,CMCM,88.8714012143858,0.52,3.94,0.72,4.83,0.91,0.25676951861607733,-0.09009740259740255,0.04322429906542047
1445,20180521.0,9.59,QD,88.8714012143858,0.6,3.29,1.78,4.6,2.41,0.3081050445708137,-0.20333680917622526,0.04322429906542047
1515,20180529.0,13.4,UGP,88.8714012143858,0.52,2.94,0.93,4.62,3.09,0.279607763878981,-0.23358208955223886,0.07179601051034394
1632,20180702.0,51.81,INFO,24.08,0.93,0.4,2.56,19.83,3.99,0.16959863628909636,,
1737,20180723.0,5.94,NOK,60.49,0.11,1.67,0.38,3.29,5.758595936794583,0.2048482188903896,,
2108,20180730.0,6.43,TKC,88.8714012143858,0.24,1.75,0.81,3.49,0.62,0.20431040707835935,,
2128,20180730.0,11.86,UGP,88.8714012143858,0.5,2.9,0.78,4.5,4.39,0.18341630863304395,,
2358,20180806.0,14.17,FRAC,86.22,0.57,0.98,1.04,4.54,5.758595936794583,0.16609635670096884,,
2536,20180806.0,16.1,QTNA,88.8714012143858,0.61,3.25,0.88,5.24,0.49,0.19227934046308212,,
2581,20180806.0,9.24,SOGO,88.8714012143858,0.66,2.64,0.47,2.48,1.24,0.3658138670145661,,
2603,20180806.0,5.88,TKC,88.8714012143858,0.24,1.5,0.81,3.35,0.63,0.18005148511723398,,
2608,20180806.0,55.05,TNET,88.8714012143858,1.67,3.28,3.06,4.39,0.88,0.18309635593709478,,
2625,20180806.0,11.92,UGP,88.8714012143858,0.57,3.28,0.78,4.54,4.55,0.16732955980783787,,
2689,20180810.0,3.22,SREV,88.8714012143858,0.2,2.05,0.17,1.21,1.75,0.19609590818020062,,
2698,20180813.0,13.38,AES,88.8714012143858,0.26,2.93,1.31,5.01,3.67,0.172868896317822,,
2713,20180813.0,6.75,ARCO,88.8714012143858,0.21,1.03,0.49,1.88,1.29,0.18727073616459194,,
2761,20180813.0,8.34,CMCM,88.8714012143858,0.38,3.39,0.64,4.44,0.67,0.2814653544367,,
3124,20180820.0,7.64,QD,88.8714012143858,0.42,3.27,1.58,4.26,2.46,0.3625245750477341,,
3177,20180827.0,9.22,LTM,4.6,0.43,1.96,0.69,5.9,0.48,0.2007516288715199,,
3183,20180827.0,26.42,PAGS,88.8714012143858,1.3,1.95,1.17,3.64,2.8,0.32852686721914365,,
3191,20180827.0,6.06,QD,88.8714012143858,0.52,2.77,1.51,4.26,1.93,0.3420998318332805,,
3199,20180827.0,37.52,TOL,10.64,1.12,3.11,5.16,29.34,0.49,0.21619523958613754,,
3241,20180904.0,28.32,PAGS,88.8714012143858,1.55,2.03,1.16,3.61,3.07,0.3206807704324452,,
